cycle,entity_type,entity_id,entity_name,entity_subtype,party_label,party_score_dem,party_score_rep,lean_dem_amt,lean_rep_amt,mixed_amt,unknown_amt,lean_measure_total,coverage_total,coverage_ratio,classification_method,classification_source,scope
2024,committee,C00620971,FOR OUR FUTURE,O,D,1.0,0.0,11276525,557,0.0,0.0,11277082,11277082,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00488742,NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND,O,Mixed,0.4703783714847753,0.5296216285152247,5289060,5955207,0.0,0.0,11244267,11244267,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C90011156,WORKING AMERICA,I,D,1.0,0.0,11054029,1437,0.0,0.0,11055466,11055466,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00707844,EDF ACTION VOTES,O,D,1.0,0.0,10768276,269603,0.0,0.0,11037879,11037879,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,O,D,1.0,0.0,10930955,0,0.0,0.0,10930955,10930955,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00606962,WORKING FAMILIES PARTY PAC,W,D,1.0,0.0,9807643,1105528,0.0,0.0,10913171,10913171,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,Q,R,0.0,1.0,852,10772808,0.0,0.0,10773660,10773660,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),Q,D,1.0,0.0,10655648,12020,0.0,0.0,10667668,10667668,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00857011,FIGHT RIGHT INC,O,D,1.0,0.0,10127831,425609,0.0,0.0,10553440,10553440,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00871368,PROJECT 218,O,D,1.0,0.0,10405585,0,0.0,0.0,10405585,10405585,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00801803,SOS AMERICA PAC,O,R,0.0,1.0,0,10109601,0.0,0.0,10109601,10109601,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00688655,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),O,D,1.0,0.0,9473091,0,0.0,0.0,9473091,9473091,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00754051,WORKERS VOTE,O,D,1.0,0.0,9451212,0,0.0,0.0,9451212,9451212,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00832691,STANDING STRONG PAC,O,D,1.0,0.0,9353287,0,0.0,0.0,9353287,9353287,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00030718,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,Q,Mixed,0.42447765402020804,0.575522345979792,3673627,4980838,0.0,0.0,8654465,8654465,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00825091,VOTE ALASKA BEFORE PARTY,O,D,1.0,0.0,8576634,0,0.0,0.0,8576634,8576634,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00837427,PROJECT RESCUE AMERICA,O,R,0.0,1.0,0,8531652,0.0,0.0,8531652,8531652,1.0,candidate_facing_committee_activity,ie_spending,all_committees
